ANIO;REG_NAT;DEMAR_HIDRO;DIR_ZON;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;CAPH;NAM;ANIO_CREACION;ROR;EDEL;AREA_HA
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL ZAMORA;19;ZAMORA CHINCHIPE;1906;EL PANGUI;APH025;EL PANGUI;2023;RESOLUCIÓN MAATE-DZ10-APH-2023-001-R DEL 07/09/2023;CONCLUIDO;399,3410952
2023;REGIÓN ORIENTAL O AMAZÓNICA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL ZAMORA;19;ZAMORA CHINCHIPE;1906;EL PANGUI;APH025;EL PANGUI;2023;RESOLUCIÓN MAATE-DZ10-APH-2023-001-R DEL 07/09/2023;CONCLUIDO;1656,42643
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PASTAZA;DIRECCIÓN ZONAL CHIMBORAZO;6;CHIMBORAZO;606;GUAMOTE;APH027;RETÉN ICHUBAMBA;2023;RESOLUCIÓN MAATE-DAPI-RI-DZ3-2023-001 DEL 11/10/2023;CONCLUIDO;4493,591827
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;10;IMBABURA;1003;COTACACHI;APH028;IMANTAG;2023;RESOLUCIÓN MAATE-APH-DZ1-2023-001 DEL 19/10/2023;CONCLUIDO;1685,316379
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;10;IMBABURA;1006;SAN MIGUEL DE URCUQUÍ;APH028;IMANTAG;2023;RESOLUCIÓN MAATE-APH-DZ1-2023-001 DEL 19/10/2023;CONCLUIDO;0,003271467
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1106;ESPÍNDOLA;APH029;EL AIRO - TUNDURAMA;2023;RESOLUCIÓN MAATE-DZ7-APH-EL-AIRO-TUNDURAMA-2023-005 DEL 02/11/2023;CONCLUIDO;832,6949215
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1106;ESPÍNDOLA;APH029;EL AIRO - TUNDURAMA;2023;RESOLUCIÓN MAATE-DZ7-APH-EL-AIRO-TUNDURAMA-2023-005 DEL 02/11/2023;CONCLUIDO;221,3904958
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1106;ESPÍNDOLA;APH029;EL AIRO - TUNDURAMA;2023;RESOLUCIÓN MAATE-DZ7-APH-EL-AIRO-TUNDURAMA-2023-005 DEL 02/11/2023;CONCLUIDO;1457,663977
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;11;LOJA;1109;PALTAS;APH030;PISACA;2023;RESOLUCIÓN MAATE-DZ7-APH-PISACA-2023-006 DEL 02/11/2023;CONCLUIDO;2452,964941
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA PUYANGO-CATAMAYO;DIRECCIÓN ZONAL LOJA;1;AZUAY;110;OÑA;APH031;SUR DEL ECUADOR;2023;;CONCLUIDO;11,79634346
